pair,cond,trial,env,env_code,num_windows,window_start,window_end,headVectP1,headVectP2
ASLH,sitting,T014,Cafe,,4,2048,3072,0.697280511,1.208636871
ASLH,sitting,T014,Cafe,,5,2560,3584,0.770690573,1.222817065
ASLH,sitting,T014,Cafe,,6,3072,4096,1.335591978,1.329174265
ASLH,sitting,T014,Cafe,,7,3584,4608,1.332724357,1.351426905
ASLH,sitting,T014,Cafe,,8,4096,5120,1.229057812,1.070343441
ASLH,sitting,T015,FoodCourt,,0,0,1024,1.055656501,1.498178745
ASLH,sitting,T015,FoodCourt,,1,512,1536,1.074805228,1.331604642
ASLH,sitting,T015,FoodCourt,,2,1024,2048,1.027771369,1.223737988
ASLH,sitting,T015,FoodCourt,,3,1536,2560,1.115230744,1.286264004
ASLH,sitting,T015,FoodCourt,,4,2048,3072,1.180121104,1.264606233
ASLH,sitting,T015,FoodCourt,,5,2560,3584,1.219584248,1.339267743
ASLH,sitting,T015,FoodCourt,,6,3072,4096,1.239151797,1.341464179
ASLH,sitting,T015,FoodCourt,,7,3584,4608,1.069682184,1.240060124
ASLH,sitting,T015,FoodCourt,,8,4096,5120,1.13120898,1.237813742
ASLH,sitting,T016,NoMusicParty,,0,0,1024,1.132230011,1.154194222
ASLH,sitting,T016,NoMusicParty,,1,512,1536,1.152762409,1.289923064
ASLH,sitting,T016,NoMusicParty,,2,1024,2048,1.213144507,1.461774848
ASLH,sitting,T016,NoMusicParty,,3,1536,2560,1.208858792,1.42815914
ASLH,sitting,T016,NoMusicParty,,4,2048,3072,1.158486034,1.304258036
ASLH,sitting,T016,NoMusicParty,,5,2560,3584,1.177628745,1.187823795
ASLH,sitting,T016,NoMusicParty,,6,3072,4096,1.32873571,1.355035417
ASLH,sitting,T016,NoMusicParty,,7,3584,4608,1.31072125,1.469776917
ASLH,sitting,T016,NoMusicParty,,8,4096,5120,1.178105526,1.42817481
ASLH,sitting,T017,Library,,0,0,1024,0.825249644,1.144859813
ASLH,sitting,T017,Library,,1,512,1536,0.905719072,1.333637464
ASLH,sitting,T017,Library,,2,1024,2048,1.043279821,1.299760133
ASLH,sitting,T017,Library,,3,1536,2560,1.084409767,1.389132583
ASLH,sitting,T017,Library,,4,2048,3072,1.078619113,1.359268201
ASLH,sitting,T017,Library,,5,2560,3584,1.16306757,1.32533196
ASLH,sitting,T017,Library,,6,3072,4096,1.176068268,1.266130107
ASLH,sitting,T017,Library,,7,3584,4608,1.060292638,1.205931545
ASLH,sitting,T017,Library,,8,4096,5120,1.169684021,1.230753404
ASLH,sitting,T018,Train,,0,0,1024,1.008567361,1.43443364
ASLH,sitting,T018,Train,,1,512,1536,0.86755539,1.220823835
