pair	cond	env	num_windows	alpha_p1	alpha_p2
4	0	MusicParty	1	0.905673474	0.908487171
4	0	MusicParty	2	0.995334799	1.123551191
4	0	MusicParty	3	1.271049842	1.127067101
4	0	MusicParty	4	1.257413107	1.031286738
4	0	MusicParty	5	1.110205609	1.004971795
4	0	MusicParty	6	1.079458516	1.08681566
4	0	MusicParty	7	1.209057062	0.981847555
4	0	MusicParty	8	1.38187179	1.013274904
4	0	Cafe	0	1.2894972	0.83000466
4	0	Cafe	1	1.158200285	0.939834179
4	0	Cafe	2	1.111275088	0.97587978
4	0	Cafe	3	1.167905145	0.781647216
4	0	Cafe	4	1.132689104	0.773294594
4	0	Cafe	5	1.135148585	0.888492133
4	0	Cafe	6	1.231507713	0.803829515
4	0	Cafe	7	1.290990986	0.922502525
4	0	Cafe	8	1.180095357	1.032891153
4	0	FoodCourt	0	1.075480173	0.868104859
4	0	FoodCourt	1	1.249795966	1.018691062
4	0	FoodCourt	2	1.245166782	0.861478244
4	0	FoodCourt	3	1.268336681	0.753171085
4	0	FoodCourt	4	1.172245166	1.000409224
4	0	FoodCourt	5	0.918717216	1.115764277
4	0	FoodCourt	6	1.094700973	0.825563397
4	0	FoodCourt	7	1.287214924	0.74617574
4	0	FoodCourt	8	1.285033973	1.079728692
4	1	Cafe	0	1.109144248	1.133883291
4	1	Cafe	1	1.131080501	1.093378823
4	1	Cafe	2	1.109625697	1.06808144
4	1	Cafe	3	1.156550178	1.161415315
4	1	Cafe	4	1.268109564	1.204044474
4	1	Cafe	5	1.274885988	1.251143261
4	1	Cafe	6	1.345204124	1.213225857
4	1	Cafe	7	1.365941793	1.152856627
4	1	Cafe	8	1.325133448	1.296090514
4	1	MusicParty	0	1.18392949	1.215107418
4	1	MusicParty	1	1.341886754	1.066666851
4	1	MusicParty	2	1.095503549	1.192485299
4	1	MusicParty	3	1.207507522	1.337286283
4	1	MusicParty	4	1.012748495	1.285580706
4	1	MusicParty	5	1.043400655	1.415129059
4	1	MusicParty	6	1.151342282	1.31664023
4	1	MusicParty	7	1.103954029	1.261222069
4	1	MusicParty	8	1.058547013	1.228105911
4	1	Train	0	1.100989796	1.241173527
4	1	Train	1	1.100230575	0.822930494
4	1	Train	2	1.048166669	0.962502903
4	1	Train	3	1.049766885	1.096297533
4	1	Train	4	1.03031619	1.258077579
4	1	Train	5	1.144459046	1.317351853
4	1	Train	6	1.230923229	1.252151733
4	1	Train	7	1.262173865	1.304870407
4	1	Train	8	1.113742813	1.344163616
4	1	FoodCourt	0	1.219121772	1.421469891
4	1	FoodCourt	1	1.109119242	1.108583822
4	1	FoodCourt	2	1.155264714	0.983248432
4	1	FoodCourt	3	1.292728973	1.253616058
4	1	FoodCourt	4	1.146871925	0.969968954
4	1	FoodCourt	5	0.996006503	0.932769622
4	1	FoodCourt	6	1.156680264	0.841568753
4	1	FoodCourt	7	1.044534166	0.942799642
4	1	FoodCourt	8	1.148569787	1.189931703
4	1	Library	0	1.007773143	0.839065285
4	1	Library	1	1.120614332	0.975116784
4	1	Library	2	0.771883208	0.928947294
4	1	Library	3	0.806419125	1.258193588
4	1	Library	4	0.83733174	1.313887981
4	1	Library	5	0.826004778	1.222903061
4	1	Library	6	1.18755874	1.289160941
4	1	Library	7	1.232577655	1.304426936
4	1	Library	8	0.930315532	1.045612581
4	1	Living	0	1.069262279	1.13188802
4	1	Living	1	0.98203212	1.079834525
4	1	Living	2	1.005304786	1.110499947
4	1	Living	3	0.98788182	1.088812066
4	1	Living	4	0.838125363	1.009897211
4	1	Living	5	0.797995901	0.797117967
4	1	Living	6	0.968959752	0.799267154
4	1	Living	7	0.88557817	0.871474015
4	1	Living	8	1.041383947	1.025022938
4	1	NoMusicParty	0	1.353074327	1.325778075
4	1	NoMusicParty	1	1.059265305	1.130955804
4	1	NoMusicParty	2	0.985179364	1.157767983
4	1	NoMusicParty	3	1.145628905	1.008393789
4	1	NoMusicParty	4	1.226737677	0.938112406
4	1	NoMusicParty	5	1.156359513	0.875118868
4	1	NoMusicParty	6	1.147974492	0.898288502
4	1	NoMusicParty	7	1.19996021	0.908425809
4	1	NoMusicParty	8	1.094011826	1.030164154
5	1	Living	0	1.130894136	1.095216356
5	1	Living	1	1.055271851	1.20231275
5	1	Living	2	1.067414378	1.21867308
5	1	Living	3	1.075653702	1.107912477
5	1	Living	4	0.892035365	1.165269573
5	1	Living	5	0.972251942	1.192018832
5	1	Living	6	0.978408504	0.948885026
5	1	Living	7	1.026683018	0.930007951
5	1	Living	8	1.034097729	0.905446697
5	1	MusicParty	0	1.263456954	1.366650827
5	1	MusicParty	1	1.084855577	1.123871364
5	1	MusicParty	2	1.085971463	0.998018314
5	1	MusicParty	3	0.985701872	0.948729869
5	1	MusicParty	4	1.057604694	0.923628702
5	1	MusicParty	5	1.043190929	1.045329931
5	1	MusicParty	6	1.207409575	1.108646197
5	1	MusicParty	7	1.285345134	1.119878997
5	1	MusicParty	8	1.22712409	1.002746244
5	1	FoodCourt	0	0.921729897	1.335655364
5	1	FoodCourt	1	1.045777827	1.278111536
5	1	FoodCourt	2	1.141188233	1.285165694
5	1	FoodCourt	3	1.207335759	1.280027044
5	1	FoodCourt	4	1.268969178	1.227676716
5	1	FoodCourt	5	1.331980235	1.241512015
5	1	FoodCourt	6	1.217459106	1.2069025
5	1	FoodCourt	7	1.035553297	1.09361771
5	1	FoodCourt	8	1.231356279	1.072650223
5	1	Train	0	0.988367354	1.259909269
5	1	Train	1	1.184855963	1.236022326
5	1	Train	2	1.085993413	1.13729702
5	1	Train	3	0.941044108	1.205888396
5	1	Train	4	1.043911624	1.146042873
5	1	Train	5	1.018320596	0.982214979
5	1	Train	6	1.161013968	1.119197263
5	1	Train	7	1.072775254	1.165511486
5	1	Train	8	0.875230744	1.218255559
5	1	Cafe	0	1.01000676	0.985375587
5	1	Cafe	1	1.163135924	0.979213541
5	1	Cafe	2	1.383501322	1.095749098
5	1	Cafe	3	1.353567406	1.028859908
5	1	Cafe	4	1.116079894	1.104242428
5	1	Cafe	5	1.029093667	1.166387197
5	1	Cafe	6	1.13011741	1.241933908
5	1	Cafe	7	1.175587388	1.234694097
5	1	Cafe	8	1.036874435	1.296166897
5	1	NoMusicParty	0	1.301244915	1.158567542
5	1	NoMusicParty	1	1.352765381	1.117536504
5	1	NoMusicParty	2	1.19305946	0.890567967
5	1	NoMusicParty	3	1.298352176	0.904253367
5	1	NoMusicParty	4	1.251968902	1.029119761
5	1	NoMusicParty	5	1.256809206	1.088354735
5	1	NoMusicParty	6	1.300649996	1.015713795
5	1	NoMusicParty	7	1.270950408	0.867029058
5	1	NoMusicParty	8	1.229874288	0.956544191
5	1	Library	0	0.924427506	0.772533375
5	1	Library	1	0.917641542	0.8998592
5	1	Library	2	0.943383713	0.949840961
5	1	Library	3	0.7979704	0.852516474
5	1	Library	4	0.766837836	0.945443853
5	1	Library	5	0.882415324	0.897986584
5	1	Library	6	0.896485744	0.900892787
5	1	Library	7	0.942333006	1.0340895
5	1	Library	8	0.877578869	1.059876436
5	0	MusicParty	0	1.072049527	1.236680332
5	0	MusicParty	1	1.091448721	1.012648302
5	0	MusicParty	2	1.179086584	1.096681158
5	0	MusicParty	3	1.301494399	1.008722901
5	0	MusicParty	4	1.252613233	0.924078685
5	0	MusicParty	5	1.066878461	0.831651465
5	0	MusicParty	6	1.142472305	0.928561839
5	0	MusicParty	7	1.116202881	0.96925553
5	0	MusicParty	8	1.269831219	1.095027975
5	0	Cafe	0	1.089072944	1.112805539
5	0	Cafe	1	0.934106463	1.132452684
5	0	Cafe	2	1.038319621	1.146071482
5	0	Cafe	3	1.05100721	0.975134602
5	0	Cafe	4	0.993196533	0.744057695
5	0	Cafe	5	1.108493027	0.850490605
5	0	Cafe	6	1.135531966	0.847547034
5	0	Cafe	7	1.068838334	0.849698569
5	0	Cafe	8	0.961617599	0.947771243
5	0	Train	0	1.180517034	1.047339166
5	0	Train	1	1.22158897	1.115168062
5	0	Train	2	1.236095551	1.120208654
5	0	Train	3	1.350195245	1.000891769
5	0	Train	4	1.374581316	0.970715593
5	0	Train	5	1.132067497	1.058021282
5	0	Train	6	1.074452363	0.939401665
5	0	Train	7	1.181307221	0.812583693
5	0	Train	8	0.944444333	0.779303795
5	0	Living	0	1.186533144	0.975636511
5	0	Living	1	1.115534122	0.993798685
5	0	Living	2	1.174783489	1.099554864
5	0	Living	3	1.094281548	1.176108381
5	0	Living	4	0.945022868	0.988245167
5	0	Living	5	1.088187047	1.004617953
5	0	Living	6	1.208659757	1.047785531
5	0	Living	7	1.184453853	0.95698869
5	0	Living	8	1.094065689	1.02564134
5	0	Library	0	1.176867823	1.132705818
5	0	Library	1	1.146799226	1.008397201
